[DubaiMatrixASI] 16:15:28.543    ERROR │ ❌ Exceção no disparo do slot: '<' not supported between instances of 'int' and 'MagicMock'
[DubaiMatrixASI] 16:15:28.544    ERROR │ ❌ Exceção no disparo do slot: '<' not supported between instances of 'int' and 'MagicMock'
[DubaiMatrixASI] 16:15:28.544    ERROR │ ❌ Exceção no disparo do slot: '<' not supported between instances of 'int' and 'MagicMock'
[DubaiMatrixASI] 16:15:28.545    ERROR │ ❌ Exceção no disparo do slot: '<' not supported between instances of 'int' and 'MagicMock'
[DubaiMatrixASI] 16:15:28.546    ERROR │ ❌ Exceção no disparo do slot: '<' not supported between instances of 'int' and 'MagicMock'
[DubaiMatrixASI] 16:15:28.547    ERROR │ ❌ Exceção no disparo do slot: '<' not supported between instances of 'int' and 'MagicMock'
[DubaiMatrixASI] 16:15:28.548    ERROR │ ❌ Exceção no disparo do slot: '<' not supported between instances of 'int' and 'MagicMock'
[DubaiMatrixASI] 16:15:28.549    ERROR │ ❌ Exceção no disparo do slot: '<' not supported between instances of 'int' and 'MagicMock'
[DubaiMatrixASI] 16:15:28.550    ERROR │ ❌ Exceção no disparo do slot: '<' not supported between instances of 'int' and 'MagicMock'
[DubaiMatrixASI] 16:15:28.551    ERROR │ ❌ Exceção no disparo do slot: '<' not supported between instances of 'int' and 'MagicMock'
[DubaiMatrixASI] 16:15:28.552    ERROR │ ❌ Execução falhou: todas as tentativas retornaram erro no MT5
[DubaiMatrixASI] 16:23:58.671    ERROR │ 💀 EXCEPTION in [decide]: UnboundLocalError: cannot access local variable 'tick_vel_abs' where it is not associated with a value
[DubaiMatrixASI] 16:23:58.732    ERROR │ 💀 EXCEPTION in [decide]: AttributeError: Mock object has no attribute 'raw_signal'
[DubaiMatrixASI] 16:25:38.138    ERROR │ 💀 EXCEPTION in [decide]: TypeError: '>' not supported between instances of 'MagicMock' and 'float'
[DubaiMatrixASI] 16:25:38.158    ERROR │ 💀 EXCEPTION in [decide]: TypeError: '>' not supported between instances of 'MagicMock' and 'float'
[DubaiMatrixASI] 16:25:57.397    ERROR │ 💀 EXCEPTION in [decide]: TypeError: '>' not supported between instances of 'MagicMock' and 'float'
[DubaiMatrixASI] 16:25:57.415    ERROR │ 💀 EXCEPTION in [decide]: TypeError: '>' not supported between instances of 'MagicMock' and 'float'
[DubaiMatrixASI] 16:28:49.569    ERROR │ 💀 EXCEPTION in [decide]: AttributeError: Mock object has no attribute 'reasoning'
[DubaiMatrixASI] 16:28:49.595    ERROR │ 💀 EXCEPTION in [decide]: AttributeError: Mock object has no attribute 'reasoning'
